,Jargon
0,a crapella
1,a new york minute
2,abbreviation
3,acqhire
4,acronym
5,adminisphere
6,adulting
7,aftcasting
8,age
9,air
10,airplane mode
11,al capone
12,all your base are belong to us
13,allow
14,almost online
15,alpha
16,alpha geek
17,alt or alt.
18,alt-right
19,alt-tab
20,alta-visitors
21,altoids
22,amazon-ized
23,amazonned
24,ambient noise
25,america offline
26,america onhold
27,anacronym
28,angry garden salad
29,animation
30,anime
31,animersive
32,ann curry-ed
33,anonymous
34,ant farm
35,anti-social networking
36,anticipointment
37,anus envy
38,any key
39,apollo syndrome
40,app
41,arc word
42,architecture police
43,arrow shooters
44,article
45,ascii bashing
46,askhole
47,asset-backward
48,assho1e
49,assicons
50,assmosis
51,astroturf
52,astroturf campaign
53,asynchronous
54,at sign or @
55,attachment parent
56,attic
57,audio
58,audiocast
59,authortisement
60,awesome sauce
61,ayb content
62,back button
63,back forty
64,back-hack
65,backgrounding
66,backronym
67,badassery
68,baeless
69,bailey the switcher
70,bake
71,balkanized
72,bambi
73,banana problem
74,bandwidth hog
75,bandwidth hugger
76,bang
77,bang the gui
78,bangalored
79,banksying
80,barbie bird
81,bare
82,barfogenesis
83,barney deal
84,barney page
85,barneyware
86,basement area network
87,basic
88,batmobiling
89,battle faxes
90,baud barf
91,bazaar-style development
92,bear paw
93,beef
94,beehive
95,beepilepsy
96,beer me
97,begathon
98,behind-the-screens
99,belfie
100,bellhead
101,benching
102,berlin firewall
103,beta baby
104,betamaxed
105,bieber baiting
106,big banging
107,big box store
108,big brother
109,big five
110,big iron
111,big room
112,bikeshedding
113,bimp
114,binary star configuration
115,binge watching
116,bio-ink
117,biobreak
118,biohacking
119,biots
120,bipolar belief system
121,bird boxed
122,bit bucket
123,bit flip
124,bit-spit
125,bitloss
126,bitnik
127,bitraking
128,bitslag
129,bitstream
130,black hole
131,blackberry neck
132,blackberry prayer
133,blackburied
134,blackholing
135,blacking out
136,blamestorming
137,blargon
138,blatherer
139,bleeding edge
140,blended networking
141,blendo
142,blips
143,bloatware
144,blob
145,block
146,blogger
147,blogosphere
148,blogroll
149,bloodware
150,blow a buffer
151,boat anchor
152,bob's your uncle
153,body nazis
154,bogus
155,boil the ocean
156,bolt-on acquisition
157,bonk
158,boobiecons
159,bookmark
160,boomerang child
161,boost
162,boot
163,booth bunny
164,boots
165,booya
166,bop
167,bottom-lining
168,bounce
169,box
170,bozon
171,brain drain
172,brain dump
173,brain fart
174,brain hacking
175,brain stain
176,brandalism
177,brandwidth
178,breadcrumb
179,breadcrumbing
180,break the internet
181,brogrammer
182,broken link or broken graphic
183,broken pipe
184,bronies
185,bropocalypse
186,brownout
187,browse
188,browse box
189,browser compatibility
190,browser support
191,bruh
192,bruised rationals
193,brute-force attack
194,bsd
195,bucket brigade
196,buddies
197,buggin' out
198,bugrade
199,bullet clicker
200,bunny suit
201,busy signaling
202,butt-brush factor
203,buzzerflies
204,buzzword-compliant
205,bye felicia
206,byte-bonding
207,c-note
208,cable
209,cached out
210,caking
211,camel case
212,camouflage
213,cancel
214,cancelbunny
215,cancelled
216,cancelmoose
217,canon
218,cappuccino cowboy
219,career-limiting move
220,career-zoned
221,careware
222,carpet bomb
223,caspering
224,catfish
225,cell mates
226,cellcert
227,cellie
228,ceop-phobia
229,cgi joe
230,cha-ching
231,chainsaw consultants
232,chamber art
233,charlie
234,chat
235,chat acronym or chat acronyms
236,chat or chatting
237,chat room
238,chat room bob
239,chatfly
240,cheapernet
241,check my spam
242,check-box item
243,cheddar
244,chernobyl packet
245,chevron
246,chick magnet
247,chicken head
248,chicken-boner
249,child tech addiction
250,chillaxin
251,chiphead
252,chips and salsa
253,chuh
254,chum
255,churning
256,circling the drain
257,circumventor site
258,city acronyms
259,city nicknames
260,clap back
261,clean
262,cleansed data
263,clearnet
264,click
265,click on
266,click-and-highlight
267,click-and-mortar
268,click-through farmers
269,clickly
270,clicks-and-chicks
271,clicks-for-chicks
272,client-server action
273,climate canary
274,clink
275,cloud
276,clue-by-four
277,clueful
278,clunky
279,cluster funk
280,co-living
281,cobots
282,cobweb site
283,cock block
284,cockroach
285,code 18
286,codenapping
287,codepie
288,codify
289,cohabidating
290,coin-operated employee
291,cold peace
292,cold transfer
293,collapsible corporations
294,command line weenie
295,computer illiterate
296,computer literate
297,computer wiz
298,computer-mediated communication
299,confirmed
300,constanet
301,content
302,coopetition
303,cord
304,cornea gumbo
305,cougar
306,country codes
307,country withheld content
308,courseware
309,crack
310,crackable
311,crackberry
312,cracker
313,cramming
314,crapplet
315,crash dummies
316,crash test dummies
317,creeping featurism
318,crimeware
319,cringe
320,crippleware
321,critical mess
322,crog
323,cross post
324,cross-roasting
325,crunk
326,cryppie
327,crypto rage
328,cube farm
329,cuck
330,cuckoo egg
331,cuddletech
332,cuffing
333,cumdex
334,curbstoning
335,curry
336,curve
337,cushioning
338,cusskiddie
339,cut steel
340,cyber monday
341,cyber noir
342,cyber sit-in
343,cyber sitters
344,cyberattack
345,cyberbullying
346,cybercad
347,cybercafe
348,cyberchondria
349,cyberchondriacs
350,cybercide
351,cybercop
352,cyberimmortality
353,cyberluddites
354,cybernoir
355,cyberpork
356,cyberpunk
357,cybersafety
358,cybersex
359,cybersexism
360,cyberslacker
361,cyberslang
362,cybersoul
363,cyberspace
364,cybersquatting
365,cyberstalking
366,cybersuicide
367,cyberterrorism
368,cybertourist
369,cyberwar
370,cyborg
371,cybrarian
372,cyburban myths
373,cycles
374,cytizenship
375,dag-tag
376,dancing baloney
377,dark fiber
378,das blinkenlights
379,data cholesterol
380,data dump
381,data shadow
382,data snacking
383,data storm
384,data valdez
385,datasphere
386,dateview
387,dawn patrol
388,dead
389,dead technology
390,dead tree edition
391,dead-tree version
392,debbie
393,deboning
394,declutterist
395,decruitment
396,deep linking
397,deface
398,default password
399,defrag
400,defragging the office
401,deja moo
402,delisting
403,delurking
404,demon customer
405,demoscene
406,demoware
407,denizen
408,designosaurs
409,df module
410,dial group
411,digital asset
412,digital attention disorder
413,digital dementia
414,digital detox
415,digital dirt
416,digital divide
417,digital doppelganger
418,digital footprint
419,digital ghetto
420,digital jewelry
421,digital kudzu
422,digital native
423,digital strip search
424,digitally grounded
425,digiterati
426,digitizer
427,dilberted
428,dime
429,dirty connection
430,disconnect anxiety
431,discussion board
432,discussion group
433,disinformation
434,disk dancers
435,dittoheads
436,do not track
437,do-it-yourself biology
438,docubug
439,dog bones
440,dog food
441,dog-collar labor
442,dogcow
443,doggo
444,dolphin parent
445,domain dropping
446,domaineering
447,domainism
448,don't-care-ware
449,done
450,dooce
451,doomsday clock
452,doorway scam
453,dope
454,dorito syndrome
455,dot address
456,dot's all folks
457,dot-bomb
458,dot-calm
459,dot-commers
460,dot-commie
461,dot-commuter
462,dot-comrade
463,dot-orging
464,double geeking
465,double text
466,down
467,downgrade
468,dox
469,draculaing
470,drink the kool-aid
471,drive-by vc
472,drug dump
473,drump
474,drunk mouse
475,dry snitching
476,dual-channeller
477,dub-dub-dub
478,dubya
479,duh
480,dustbuster
481,dweeb
482,dynamic content
483,e-anything
484,e-begging
485,e-bomb
486,e-card
487,e-collar workers
488,e-dress
489,e-journal
490,e-learning
491,e-lottery
492,e-mail shorthand
493,e-mall
494,e-publishing
495,e-purse
496,e-reading
497,e-text
498,e-zine
499,e2e
500,ear candy
501,ear hustling
502,earth's population e-mail
503,easter egg
504,echo chamber
505,ecruiting
506,edgy
507,edtech
508,ego-surfing
509,ejectrode
510,electronic library
511,electronic mall/storefront
512,electronic publishing
513,electronically-mediated communication
514,elephant parent
515,elite
516,elvis year
517,emacs
518,email
519,emg
520,emo
521,emoji
522,emotags
523,emoticons
524,emotional web
525,encrypted english
526,engrish
527,entrenched transactors
528,ephemeral data
529,eternal hold
530,eurominutes
531,event horizon
532,everflux
533,evidence divide
534,evite
535,exaggerdate
536,express messaging
537,extra
538,extremely online
539,extremophile
540,eye candy
541,f-you money
542,facebooking
543,faceprint
544,fake
545,fake fan
546,fake news
547,false drop
548,fam
549,faq
550,fast tracking
551,fat finger
552,fat pipe
553,fatware
554,faux beau
555,favicon
556,feels
557,felfie
558,femtech
559,film at 11
560,filter bubble
561,fine business
562,fingerprint
563,finna
564,fire off
565,firedooring
566,firefighters
567,first eyes
568,fisk
569,five-and-dime
570,fix it in post
571,flame
572,flame bait
573,flame war
574,flash crowd
575,flash crowds
576,flash mob
577,flex
578,flies
579,flight risk
580,flog
581,floodgaters
582,flowie
583,fluttering
584,flypaper meeting
585,folksonomy
586,foo/foobar
587,force quit
588,forelash
589,forest
590,forestware
591,form art
592,fortune cookie
593,fram
594,fram virus
595,frankenedit
596,frape
597,frazzing
598,free-range parent
599,freecycling
600,freeware
601,frendor
602,frenvy
603,fresh fish
604,friday night pizza maker
605,friend
606,full-on honkey handshake
607,functionality
608,funemployment
609,furverts
610,fusion
611,future-proof
612,g-word
613,g.o.o.d. job
614,gadget fatigue
615,gamer
616,gamer tag
617,gang faq
618,garbage time
619,gaslighting
620,gassed
621,gatekeeping
622,gatesed
623,gatored
624,gatsbying
625,gearhead
626,geek
627,geek-gasm
628,geek-speak
629,geeked
630,geeking out
631,geekosphere
632,geeksploitation
633,geektavist
634,gen m
635,gender
636,generic
637,generica
638,genius killer
639,geocaching
640,ghost site
641,ghosting
642,gingerbread house
643,giuliani-esque
644,gizmo
645,gladvertising
646,glambassador
647,glass
648,glasserati
649,glazing
650,glow up
651,glueware
652,go off
653,goals af
654,god-forbid room
655,going cyrillic
656,going down in the dms
657,going postal
658,golden rolodex
659,gonk
660,good thing
661,google blips
662,google bombing
663,google juicing
664,google narcissist
665,googleganger
666,googlewhacking
667,googling
668,gopherhead
669,gopherspace
670,gotta dip
671,grandeing
672,graphical smileys
673,grass station
674,grass-roots campaign
675,gray matter
676,graybar land
677,green adults
678,green teens
679,greenwash
680,gremlins
681,grinder
682,grok
683,grrl
684,gualla
685,gucci
686,guerrilla networks
687,guestbook
688,gumint
689,gutenberg
690,gutter tribes
691,hack-o-grams
692,hacker
693,hacker ethic
694,hacker jargon
695,hacktivist
696,haiku poetry error messages
697,hairball
698,hal
699,halo effect
700,ham
701,hand salsa
702,hand-holding
703,handle
704,hang-time
705,hangry
706,hardwired
707,hashtag
708,hashtag activism
709,haunting
710,heads-down tribe
711,heart bargain
712,heavy internet user
713,height technology
714,heisenbug
715,helfie
716,helicopter parent
717,hemming and hawing
718,henry the forger
719,high dome
720,high key
721,hijacker
722,hijackware
723,hillbilly heroin
724,hippie dippie
725,history
726,hit my clip
727,hive
728,holds the keys
729,holy war
730,home slice
731,homebrew
732,homepage
733,homestead
734,homograph
735,homonym
736,homophone
737,honeypot
738,hook and book
739,hose and close
740,hospitality hack
741,hosting
742,hotlink
743,hotlist
744,hourglass mode
745,house file hygiene
746,house mouse
747,hover
748,huge pipes
749,human capital
750,human gateway
751,humble brag
752,hunda p
753,hundo p
754,hunt-and-peck
755,hydraulics of the situation
756,hype
757,hyperlink
758,hyperpower
759,i take your question
760,i-anything
761,i/o error
762,iamgoogle
763,ib4m
764,ic/ooc
765,ict
766,idea hamster
767,identity crash
768,image aspirations
769,in real time
770,in silico
771,in situ
772,in the cloud
773,in the demo
774,in the leather
775,in the parish
776,in the plastic closet
777,in the pod
778,in the zone
779,incel
780,incubaby
781,indie or indy
782,indigenous content
783,induhvidual
784,infobahn
785,infographic
786,infonesia
787,information dominance
788,information gridlock
789,information leakage
790,information overload
791,information superhighway
792,infosnacking
793,infosumer
794,infotainment
795,inmigrant
796,inner geek
797,instabait
798,instagator
799,instagrandstanding
800,intellectual gill-netting
801,international online jargon
802,internaut
803,internesia
804,internet addiction
805,internet hoax
806,internet hunting
807,internet time
808,internetworking
809,internut
810,interstitial
811,interweb
812,intexticated
813,intimate data
814,intrapreneur
815,iphony
816,ipoaf
817,ippie
818,iqueue
819,irritainment
820,it's a feature
821,j-code
822,j-list
823,jabber
824,jack in
825,jailbreaking
826,japanese smileys
827,jawboning
828,jelly
829,jerry-rig
830,jewel button
831,jitterati
832,jpigs
833,juice a brick
834,juice card
835,juice jacking
836,junk sleep
837,kangaroo code
838,kangaroo parent
839,keeping it 100
840,keitai
841,kevork
842,key pal
843,keyboard plaque
844,keyboard trauma
845,kill switch
846,kitten
847,kittenfish
848,kluge or kludge
849,knowbots
850,koan
851,kobrigram
852,kodak courage
853,kubris
854,l33t
855,lackfo
856,lag or lagging
857,lamer
858,lanlord
859,laptop nomad
860,larry the bird
861,lasagna syndrome
862,latinx
863,latte town
864,laurel or yanny
865,lawnmower parent
866,laymanise
867,leaky reply
868,leetspeak
869,left unread
870,legacy footprint
871,leveraged flyout
872,libtard
873,lick your lips
874,life support
875,lifestreaming
876,like
877,link farm
878,link juice
879,link popularity
880,link rot
881,linkrot
882,listicle
883,lit
884,little r
885,live
886,live chat
887,llama
888,load
889,login or log in
890,logoff
891,lolcat
892,loller
893,lonelygirl15
894,looking for mr. goodvar
895,looky-loo
896,looping
897,loser error
898,low key
899,luddite
900,lumbersexual
901,lumpy
902,lurk
903,lurker
904,magic lantern
905,magic smoke
906,mail bomb
907,malware
908,mansplaining
909,manthreading
910,map
911,marching ants
912,market-leninism
913,martian packet
914,matrix
915,mci project
916,mcluhanism
917,meatbot
918,meatjail
919,meatloaf
920,meatspace
921,mecca
922,media contamination
923,media fusion
924,meltdown
925,meme
926,memorial state
927,mention
928,merchantainment
929,merica
930,met ed
931,metajacking
932,metaverse
933,metoobies
934,micro moment
935,microblog
936,microchip graffiti
937,microinfluencer
938,micropost
939,microserf
940,microsociety
941,midair passenger exchange
942,middle school dance
943,migrate
944,milk
945,millennials
946,millingo
947,misgender
948,misinformation
949,mmorpg
950,mobile moment
951,mobisode
952,modemhead
953,mommy-save
954,money
955,monitor pets
956,mood
957,moonshine shop
958,mopper
959,most-favored nations
960,mountain folk
961,mouse hand
962,mouse potato
963,mousejacking
964,mouselexia
965,mousetrapping
966,msdsl
967,muchomedia
968,mud flaps
969,muggle
970,multi-mediocrity
971,murk
972,murphy's laws on technology
973,my bad
974,my heart
975,nambla
976,napster fabbing
977,napsterized
978,nar
979,narco pop
980,nascar effect
981,navigate
982,neevil
983,negging
984,neo-luddite
985,neologism
986,neophyte
987,nerd
988,nerd bird
989,nerd rustler
990,nerdistan
991,nesting
992,net head
993,net lag
994,net news
995,net personality
996,net police
997,net spider
998,net.god
999,netbetting
1000,netiquette
1001,netizen
1002,netroots
1003,netsite
1004,netsploitation
1005,netsploitation flick
1006,netwar
1007,network pirate
1008,new consumer paradigm
1009,newbie
1010,newszak
1011,nigritude ultramarine
1012,nine-iron
1013,nine-to-five code
1014,nokiait
1015,nomophobia
1016,nonlinear behavior
1017,nooksurfer
1018,noppers
1019,not found 404
1020,notwork
1021,nsa line eater
1022,nudge
1023,nut cluster
1024,nutraceutical
1025,nyetscape
1026,nym
1027,nym-rod
1028,object value
1029,off the chain
1030,off-deck
1031,office drone
1032,official site
1033,offline
1034,offline browser
1035,offshored
1036,ogooglebar
1037,ohnosecond
1038,omnicide
1039,on fleek
1040,on ice
1041,on the team
1042,on velvet
1043,on-screen
1044,on-the-fly
1045,online
1046,online auction
1047,online community
1048,online dating
1049,online hate speech
1050,online jargon
1051,online newsletter
1052,online shopping
1053,orbiting
1054,organ donor
1055,organized coincidence
1056,orphan annie
1057,ostrich years
1058,otaku
1059,outrage porn
1060,over-mac'd
1061,overconnectedness
1062,overshare
1063,owls
1064,oy vey
1065,p-book
1066,p-mail
1067,pagejacking
1068,pain in the net
1069,paintmonkey
1070,panarchy
1071,pangloom
1072,panic merchants
1073,parade
1074,parasite
1075,parasiteware
1076,paste bomb
1077,patent stump
1078,path
1079,paygrounds
1080,paypal mafia
1081,pdfing
1082,peeped
1083,penguinhead
1084,percussive maintenance
1085,peripheralitis
1086,permalancer
1087,permalink
1088,perot
1089,pet shaming
1090,peter panning
1091,phantom ring
1092,pharming
1093,phish
1094,phishing
1095,phone face
1096,phonesia
1097,phonetography
1098,photoshopped
1099,phreak
1100,phubbing
1101,picasso porn
1102,pickling
1103,pics or it didn’t happen
1104,piggyback
1105,pimpware
1106,pin bender
1107,pink
1108,pirate
1109,pixel dust
1110,pixel pusher
1111,pixel shim
1112,placeblog
1113,plastic pocket-protector set
1114,platform diving
1115,playground
1116,plinking
1117,plog
1118,plonk
1119,plug
1120,plug-and-pray
1121,plugged-in
1122,plutoed
1123,poachware
1124,point
1125,point listing
1126,point-of-purchase politics
1127,pointcasting
1128,poke
1129,poke war
1130,pomo
1131,pomosexual
1132,ponytails
1133,poof company
1134,popsicle
1135,porn-napping
1136,pornado
1137,portal
1138,portmanteau
1139,posh
1140,post
1141,post-greenspan
1142,post-pc
1143,post-truth
1144,posting
1145,postmaster
1146,power leveling
1147,power luser
1148,power rudeness
1149,pp2p
1150,prairie dogging
1151,praise orgy
1152,prebuttal
1153,pregame
1154,pretexting
1155,privacation
1156,private web
1157,productize
1158,programming in word
1159,prolly
1160,prompt
1161,proof of failure
1162,propellerhead
1163,props
1164,pseudo-supervisor
1165,psyche
1166,pulling glass
1167,puma
1168,put someone on
1169,putt-putt market
1170,qanon
1171,qcd
1172,queer the deal
1173,quiche
1174,quick-and-dirty
1175,radio tags
1176,ransomware
1177,rant-and-rave
1178,rasterbator
1179,ratchet
1180,ratting
1181,real programming
1182,real soon now
1183,real time chat
1184,real world
1185,real-time
1186,reality check
1187,rebump
1188,receipt porn
1189,receipts
1190,reciprocal link
1191,refusenik
1192,reg
1193,reintarnation
1194,render farm
1195,render wander
1196,rents
1197,respeck
1198,retweet
1199,revenge porn
1200,rib site
1201,ribs 'n' dick
1202,rich media
1203,richard petty syndrome
1204,rickroll
1205,rides
1206,rimm job
1207,ringmaster
1208,ringxiety
1209,rinky-dink
1210,roach coach
1211,roaching
1212,road builders
1213,road dawg
1214,roadcasting
1215,roadie
1216,rogue site
1217,rollover
1218,rom brain
1219,romanceting
1220,router droppings
1221,rumint
1222,rumorazzi
1223,said no one ever
1224,salinger syndrome
1225,salmon day
1226,salty
1227,sandbox
1228,sandwich generation
1229,savage
1230,scarecrow technology
1231,scareware
1232,schadenfreude
1233,schrödinger’s text
1234,screen time
1235,screen-saver face
1236,screenagers
1237,scribe tribes
1238,script
1239,script kiddie
1240,scroll (and) scroll bar
1241,scrooging
1242,seasteading
1243,secured the bag
1244,selfie
1245,selfielapse
1246,send storm
1247,serendipity search
1248,server has no dns entry
1249,sex selfie
1250,sexting
1251,shade
1252,shadow banning
1253,shake-and-bake
1254,shaming
1255,sharenting
1256,shareware girl
1257,shelf baby
1258,shelfie
1259,shelfware
1260,shipper
1261,shook
1262,shopgrifting
1263,shopper-lifting
1264,shorthand
1265,shoulder surfing
1266,shouting
1267,shovelware
1268,showrooming
1269,showstopper
1270,shrink-wrap
1271,side hustle
1272,sig quote
1273,siliconia
1274,silver surfer
1275,simus
1276,singing daisy
1277,sipping the tea
1278,sis
1279,site
1280,situationship
1281,skeet
1282,skimming
1283,skin
1284,skitzo
1285,skrrt
1286,skurt
1287,slacktivist
1288,slag
1289,slashdot
1290,slay
1291,sleep camels
1292,slinging code
1293,slogo
1294,sloppy clicker
1295,slow fade
1296,slug
1297,slug mail
1298,small indulgence syndrome
1299,smartphone face
1300,smartphone thumb
1301,smasher
1302,smiley or smileys
1303,smishing
1304,smoke test
1305,smol
1306,smut miner
1307,snack
1308,snail mail
1309,snap trap
1310,snarky
1311,snatched
1312,sneakernet
1313,snowflake
1314,so stalemate
1315,social bookmarking
1316,social engineering
1317,social media
1318,social networking
1319,social notworking
1320,social scoring
1321,social squatter
1322,sociomedia
1323,sockpuppet
1324,soul-mining
1325,space junk
1326,spaghetti code
1327,spam
1328,spam trap
1329,spamhandling
1330,spamhaus
1331,spammin'
1332,spamouflage
1333,speako
1334,spear phishing
1335,spin
1336,spin doctors
1337,splash page
1338,splog
1339,spod
1340,spoof web site
1341,spotted owl
1342,squad goals
1343,squammer
1344,square grouper
1345,square-headed spouse
1346,squidzillionaire
1347,squirt the bird
1348,stalker site
1349,stan
1350,starter marriages
1351,stashing
1352,stasi-ware
1353,stealth urls
1354,stemming
1355,sticky content
1356,stinkubator
1357,straight fire
1358,straight-on smileys
1359,strangelove ocean
1360,streetspotting
1361,stress puppy
1362,stuffer
1363,stussy
1364,style guide
1365,submarining
1366,suck sites
1367,sugarpic
1368,suh
1369,sunset
1370,super node
1371,superadd
1372,supertasker
1373,surf or surfing
1374,surfus
1375,survival chic
1376,sus
1377,swatting
1378,sweeple
1379,swerve
1380,swiped out
1381,swole
1382,synchronous
1383,synthespian
1384,table stable
1385,tadpole
1386,tagging
1387,talk or talker
1388,taskbar lint
1389,tech neck
1390,techlash
1391,technical butt-sniffing
1392,techno-hippies
1393,technobabble
1394,technocowboy
1395,technohedonist
1396,technojunkie
1397,technological bite back
1398,technology cave
1399,technology gone awry
1400,technophile
1401,ted
1402,telephone number salary
1403,telesmell
1404,ten-dollar solution
1405,tennis e-mail
1406,tether
1407,tetwrist
1408,text me
1409,text message
1410,textlationship
1411,textonym
1412,textrovert
1413,textual chemistry
1414,the beast
1415,the big tent
1416,the bomb
1417,the end of quiet
1418,the net
1419,the nursery
1420,the real world
1421,the struggle is real
1422,the web
1423,thicc
1424,thiefware
1425,third millennium
1426,thirst trap
1427,thirsty
1428,thrashing
1429,thread
1430,three-dot disappearing act
1431,throbbers
1432,throning
1433,thumb-typing
1434,tiger parent
1435,time porn
1436,tindstagramming
1437,tipping p
1438,toast
1439,toasternet
1440,tofu
1441,tope
1442,topic drift
1443,torch mode
1444,tossed out
1445,totes
1446,tourists
1447,toy value
1448,trackable
1449,tracker
1450,tradigital
1451,train wreck
1452,transfer interrupted!
1453,transhumanism
1454,transparency
1455,transphobia
1456,trap car
1457,travel bug
1458,treeware
1459,trending
1460,trill
1461,triple-dub
1462,trog mode
1463,troll
1464,troll farm
1465,tubiverse
1466,tumbleweeds
1467,turklebaum
1468,turn up
1469,turnt
1470,twalker
1471,tweak freak
1472,tweckling
1473,tween
1474,tweepish
1475,tweeps
1476,tweetaholic
1477,tweeting
1478,tweetstorm
1479,tweetup
1480,twerk
1481,twibe
1482,twitch game
1483,twitt
1484,twitterati
1485,twitterature
1486,twitterhea
1487,twittermob
1488,twitterverse
1489,two-letter domain
1490,typosquatting
1491,uce
1492,umfriend
1493,uncuffing
1494,under construction
1495,under mouse arrest
1496,unfriend
1497,uninstalled
1498,unknown zone
1499,unlock
1500,unmetered
1501,unofficial site
1502,unplugged
1503,upgradathon
1504,upgrade fever
1505,upskirting
1506,user
1507,user-friendly
1508,user-generated content
1509,username
1510,using a previously cached copy version
1511,value-subtracted reseller
1512,vamping
1513,vampire time
1514,vanity page
